name,id,price,hash,rarityScore,rarityRank,Body,Face,Headwear,Background
Naru 02241,2241,16000,QmZwLB2YEVNzLPLtd2jWUWWEqDTJfk6Qa2fLHeXuDzezUd,943,13,Gold Chain,Cyber LOL,Teapot,Red
Naru 03987,3987,69000,QmeJdSatgL7iMfCYeWjy5Cn1WQoZGJXYh4BAsdmy25NF4C,914,14,Angel Wings,Wow,Halo,Light Blue
Naru 07891,7891,x,QmQMc5CyECtD1PV7mFMcpMvf4Q2qYzNJj94k1PpA7za9MP,904,15,,,,
Naru 00319,319,29000,QmSmUXDpvhpggyiNgWcSo2XB46wPrEp1qv6KVPP1yZrcRF,902,16,Angel Wings,Wow,Fast Food Visor,Dark
Naru 01650,1650,x,QmUKHx4apZPd1Ww3sE2gwjPHdDU3Y8AEX5abe9dGuz6s5w,897,17,,,,
Naru 08717,8717,11500,QmZgygs8TXoDTm8XYTMQ267NCtBP1qhBU6mM4j3STWD6Y3,874,18,Devil Wings,Chaos,Cheeseburger,Light Blue
Naru 02833,2833,49999,Qme9nXGgpgsFxiqF88iyLcs1kKCK3cTPseaVtD7vm4gQvq,871,19,Royal Robes,Cyber Angry,Blue Halo,Dark
Naru 05395,5395,75000,Qma6DJ1zaWFSPseGCcWxzvQqiNihUszpDmzq78Kx2UxdxT,863,20,Royal Robes,Lip Bite,Teapot,Pink
Naru 08616,8616,6900,QmUvoxGxbHRoMnDpz1Q9NLB5Vnjq3sJcQBM9GMgUpVMz1G,840,21,Box Robot,Headset,Teapot,Pink
Naru 09158,9158,x,QmYHwLG9ea9tQpFGyAxR3VKeiGxzHrDx854LYMsiumSWQ2,835,22,,,,
